id,device_name,device_type,workshop,power_kw,status,vibration_mm_s,temp_c,current_a
E001,数控车床,机加设备,机加车间,22.0,运行中,1.8,42.5,18.2
E002,立式铣床,机加设备,机加车间,15.0,运行中,0.79,61.8,10.9
E003,试压台-1,试压设备,检测车间,5.5,运行中,0.73,60.4,3.4
E004,试压台-2,试压设备,检测车间,5.5,维护中,2.23,38.5,3.5
E005,铸造炉,铸造设备,铸造车间,120.0,运行中,2.2,76.3,77.2
E006,翻砂机,铸造设备,铸造车间,45.0,运行中,1.39,66.4,41.9
E007,卧式镗床,机加设备,机加车间,30.0,运行中,2.81,54.8,28.3
E008,装配线-A,装配设备,装配车间,8.0,运行中,0.69,77.9,5.6
E009,氩弧焊机,焊接设备,装配车间,18.0,运行中,1.08,40.9,12.7
E010,电镀槽,表面处理设备,表面处理车间,25.0,待机,3.76,44.0,20.1
