id,device_name,device_type,workshop,power_kw,status,temp_c,vibration_mm_s,device_age_years,maintainer
E001,注塑机,检测设备,总装车间,88.7,停机,36.3,6.19,5,陈工
E002,老化测试台,成型设备,冲压车间,70.2,备用,60.6,6.76,1,
E003,注塑机,成型设备,冲压车间,33.0,停机,52.6,2.27,11,陈工
E004,老化测试台,装配设备,品质部,61.8,运行中,29.7,1.37,3,王工
E005,钣金冲床,检测设备,品质部,,,76.6,7.91,2,
E006,注塑机,成型设备,品质部,29.6,检修,33.7,3.63,50,陈工
E007,钣金冲床,装配设备,冲压车间,,备用,68.0,7.76,7,王工
E008,,成型设备,冲压车间,24.2,备用,79.2,,1,
E009,老化测试台,成型设备,注塑车间,94.0,停机,59.0,1.96,9,张工
E010,总装流水线,,注塑车间,77.7,运行中,86.8,1.38,7,赵工
E001,注塑机,检测设备,总装车间,88.7,停机,36.3,6.19,5,陈工
