id,batch_id,check_item,press_rule,hold_sec,leak_bubbles_min,result,checker,check_date
Q001,B007,低压密封试验,0.6MPa,60,0,合格,李工,2026-07-09
Q002,B003,壳体试验,1.5×工作压力,60,8,合格,刘工,2026-07-19
Q003,B002,低压密封试验,0.6MPa,60,2,合格,张工,2026-07-14
Q004,B014,上密封试验,1.1×工作压力,60,0,合格,刘工,2026-07-12
Q005,B002,壳体试验,1.5×工作压力,60,8,合格,王工,2026-07-10
Q006,B009,壳体试验,1.5×工作压力,60,6,合格,刘工,2026-07-04
Q007,B008,上密封试验,1.1×工作压力,60,0,合格,张工,2026-07-06
Q008,B004,上密封试验,1.1×工作压力,60,12,合格,刘工,2026-07-07
Q009,B009,上密封试验,1.1×工作压力,60,15,不合格,李工,2026-07-17
Q010,B011,低压密封试验,0.6MPa,60,28,不合格,王工,2026-07-06
Q011,B005,壳体试验,1.5×工作压力,60,0,合格,刘工,2026-07-14
Q012,B004,壳体试验,1.5×工作压力,60,12,合格,张工,2026-07-19
Q013,B007,上密封试验,1.1×工作压力,60,12,合格,王工,2026-07-06
Q014,B012,上密封试验,1.1×工作压力,60,8,合格,王工,2026-07-05
Q015,B002,上密封试验,1.1×工作压力,60,0,合格,陈工,2026-07-06
Q016,B015,上密封试验,1.1×工作压力,60,6,合格,陈工,2026-07-09
Q017,B014,高压密封试验,1.1×工作压力,60,26,不合格,李工,2026-07-04
Q018,B009,高压密封试验,1.1×工作压力,60,16,不合格,张工,2026-07-08
Q019,B007,低压密封试验,0.6MPa,60,8,合格,陈工,2026-07-15
Q020,B014,高压密封试验,1.1×工作压力,60,0,合格,王工,2026-07-13
Q021,B012,低压密封试验,0.6MPa,60,2,合格,张工,2026-07-09
Q022,B011,高压密封试验,1.1×工作压力,60,37,不合格,张工,2026-07-08
Q023,B013,上密封试验,1.1×工作压力,60,12,合格,王工,2026-07-16
Q024,B007,高压密封试验,1.1×工作压力,60,24,不合格,张工,2026-07-17
