id,device_name,device_type,workshop,power_kw,status,temp_c,vibration_mm_s,device_age_years,maintainer
E001,攻丝机,冲压设备,机加车间,10.6,备用,33.5,7.63,11,王工
E002,电镀线,机加设备,机加车间,77.5,停机,64.9,,10,王工
E003,CNC加工中心,机加设备,冲压车间,62.4,运行中,50.2,6.0,5,张工
E004,攻丝机,表面处理,电镀车间,107.4,运行中,45.1,1.88,15,张工
E005,电镀线,机加设备,电镀车间,-23.9,,52.2,7.64,6,
E006,CNC加工中心,表面处理,机加车间,114.3,检修,45.1,7.72,7,李工
E007,攻丝机,机加设备,冲压车间,20.2,备用,33.7,7.87,1,李工
E008,,机加设备,机加车间,44.5,停机,62.9,1.17,9,陈工
E009,CNC加工中心,机加设备,电镀车间,112.0,检修,42.6,,14,赵工
E010,电镀线,机加设备,机加车间,5.5,备用,80.2,1.06,13,陈工
E001,攻丝机,冲压设备,机加车间,10.6,备用,33.5,7.63,11,王工
