id,product_id,produce_date,quantity,raw_parts,team,status
B001,P004,2026-07-02,43,R001;R004;R008;R006,铸造一班,已入库
B002,P007,2026-07-03,69,R008;R006;R005;R002,机加一班,待质检
B003,P003,2026-07-04,64,R005;R009;R008;R003,铸造二班,已入库
B004,P008,2026-07-05,38,R009;R007,装配二班,已入库
B005,P003,2026-07-06,68,R007;R001;R002,机加一班,已入库
B006,P006,2026-07-07,41,R008;R002;R009;R003,机加一班,待质检
B007,P008,2026-07-08,64,R005;R008;R010;R006,铸造一班,已入库
B008,P007,2026-07-09,76,R006;R003;R002,机加一班,已入库
B009,P008,2026-07-10,23,R004;R007,铸造二班,生产中
B010,P007,2026-07-11,78,R008;R007,装配一班,已入库
B011,P005,2026-07-12,76,R005;R007;R006;R008,铸造二班,待质检
B012,P007,2026-07-13,34,R003;R004,铸造二班,已入库
B013,P004,2026-07-14,20,R005;R001;R003,装配一班,已入库
B014,P007,2026-07-15,54,R009;R001,机加一班,生产中
B015,P008,2026-07-16,77,R007;R010;R002,装配二班,待质检
